ivol x_MIN3P z_MIN3P RSD2
 639 0.393939 0.060606 0.000000
 640 0.404040 0.060606 0.000000
 641 0.414141 0.060606 0.000000
 642 0.424242 0.060606 0.378007
 643 0.434343 0.060606 0.801390
 644 0.444444 0.060606 0.388625
 645 0.454545 0.060606 0.467015
 646 0.464646 0.060606 0.000000
 647 0.474747 0.060606 0.000000
 648 0.484848 0.060606 0.348701
 649 0.494949 0.060606 0.488193
 650 0.505050 0.060606 0.498858
 651 0.515152 0.060606 0.045418
 652 0.525253 0.060606 0.055053
 653 0.535354 0.060606 0.165160
 654 0.545455 0.060606 0.140577
 655 0.555556 0.060606 0.188692
 656 0.565657 0.060606 0.137503
 657 0.575758 0.060606 0.040665
 658 0.585859 0.060606 0.000000
 659 0.595960 0.060606 0.000000
 660 0.606061 0.060606 0.086331
 661 0.616162 0.060606 0.086331
 662 0.626263 0.060606 0.043165
 663 0.636364 0.060606 0.000000
 664 0.646465 0.060606 0.000000
 665 0.656566 0.060606 0.000000
 666 0.666667 0.060606 0.000000
 667 0.676768 0.060606 0.000000
 668 0.686869 0.060606 0.000000
 669 0.696970 0.060606 0.000000
 670 0.707071 0.060606 0.000000
 671 0.717172 0.060606 0.000000
 672 0.727273 0.060606 0.000000
 673 0.737374 0.060606 0.000000
 674 0.747475 0.060606 0.000000
 675 0.757576 0.060606 0.000000
 676 0.767677 0.060606 0.000000
 677 0.777778 0.060606 0.000000
 678 0.787879 0.060606 0.000000
 679 0.797980 0.060606 0.000000
 680 0.808081 0.060606 0.000000
 681 0.818182 0.060606 0.000000
 682 0.828283 0.060606 0.000000
 683 0.838384 0.060606 0.000000
 684 0.848485 0.060606 0.000000
 685 0.858586 0.060606 0.000000
 686 0.868687 0.060606 0.000000
 687 0.878788 0.060606 0.000000
 688 0.888889 0.060606 0.000000
 689 0.898990 0.060606 0.000000
 690 0.909091 0.060606 0.000000
 691 0.919192 0.060606 0.000000
 692 0.929293 0.060606 0.000000
 693 0.939394 0.060606 0.000000
 694 0.949495 0.060606 0.000000
 695 0.959596 0.060606 0.000000
 696 0.969697 0.060606 0.000000
 697 0.979798 0.060606 0.000000
 698 0.989899 0.060606 0.000000
 699 1.000000 0.060606 0.000000
 700 0.000000 0.070707 0.000000
 701 0.010101 0.070707 0.000000
 702 0.020202 0.070707 0.000000
 703 0.030303 0.070707 0.000000
 704 0.040404 0.070707 0.000000
 705 0.050505 0.070707 0.000000
 706 0.060606 0.070707 0.000000
 707 0.070707 0.070707 0.000000
 708 0.080808 0.070707 0.000000
 709 0.090909 0.070707 0.000000
 710 0.101010 0.070707 0.000000
 711 0.111111 0.070707 0.000000
 712 0.121212 0.070707 0.000000
 713 0.131313 0.070707 0.000000
 714 0.141414 0.070707 0.000000
 715 0.151515 0.070707 0.000000
 716 0.161616 0.070707 0.000000
 717 0.171717 0.070707 0.000000
 718 0.181818 0.070707 0.000000
 719 0.191919 0.070707 0.000000
 720 0.202020 0.070707 0.000000
 721 0.212121 0.070707 0.000000
 722 0.222222 0.070707 0.000000
 723 0.232323 0.070707 0.000000
 724 0.242424 0.070707 0.000000
 725 0.252525 0.070707 0.000000
 726 0.262626 0.070707 0.000000
 727 0.272727 0.070707 0.000000
 728 0.282828 0.070707 0.000000
 729 0.292929 0.070707 0.000000
 730 0.303030 0.070707 0.000000
 731 0.313131 0.070707 0.000000
 732 0.323232 0.070707 0.000000
 733 0.333333 0.070707 0.000000
 734 0.343434 0.070707 0.000000
 735 0.353535 0.070707 0.000000
 736 0.363636 0.070707 0.000000
 737 0.373737 0.070707 0.000000
 738 0.383838 0.070707 0.000000
 739 0.393939 0.070707 0.000000
 740 0.404040 0.070707 0.000000
 741 0.414141 0.070707 0.140430
 742 0.424242 0.070707 0.158642
 743 0.434343 0.070707 0.144656
 744 0.444444 0.070707 0.833653
 745 0.454545 0.070707 0.597568
 746 0.464646 0.070707 0.176871
 747 0.474747 0.070707 0.426843
 748 0.484848 0.070707 0.354087
 749 0.494949 0.070707 0.349534
 750 0.505050 0.070707 0.140258
 751 0.515152 0.070707 0.000000
 752 0.525253 0.070707 0.040664
 753 0.535354 0.070707 0.340207
 754 0.545455 0.070707 0.127256
 755 0.555556 0.070707 0.255112
 756 0.565657 0.070707 0.000000
 757 0.575758 0.070707 0.000000
 758 0.585859 0.070707 0.000000
 759 0.595960 0.070707 0.129496
 760 0.606061 0.070707 0.043165
 761 0.616162 0.070707 0.000000
 762 0.626263 0.070707 0.000000
 763 0.636364 0.070707 0.000000
 764 0.646465 0.070707 0.000000
 765 0.656566 0.070707 0.000000
 766 0.666667 0.070707 0.000000
 767 0.676768 0.070707 0.000000
 768 0.686869 0.070707 0.000000
 769 0.696970 0.070707 0.000000
 770 0.707071 0.070707 0.000000
 771 0.717172 0.070707 0.000000
 772 0.727273 0.070707 0.000000
 773 0.737374 0.070707 0.000000
