time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
20	237.29359419897813	1	1	1	1	0	0	237.29359419897813	19.0	0	0.011381981428399687	0.8165097483068953	1.088765515813777	990.6577731669254	0.0	479.2413233010394	405.232817163022	106.18363270286403	8.329665485631901	884.4741404640614	2.523865185522276E-9	
21	251.0589284553002	1	1	1	1	0	0	251.0589284553002	20.0	0	0.013825910143398328	0.8316003306300476	1.1056462517809527	1211.9372976455375	0.0	582.1435849851928	503.4630701369993	126.33064252334555	8.593375553532667	1085.606655122192	3.5893192596061485E-9	
22	264.9538811227463	1	1	1	1	0	0	264.9538811227463	21.0	0	0.016587672356401836	0.8058234634742631	1.0852840789002383	1482.4743438513067	0.0	698.4283097432353	616.8661607486207	148.75408329195417	8.84207304689832	1315.294470491856	4.413248217889807E-9	
23	278.9785277773454	1	1	1	1	0	0	278.9785277773454	22.0	0	0.019522513337708398	0.8449458571956593	1.1067489519932057	1837.4757220295126	0.0	822.0005615877221	739.580456356907	172.42191928469074	9.056743043013332	1561.5810179446291	5.819770545597742E-9	
24	293.13290556399915	1	1	1	1	0	0	293.13290556399915	23.0	0	0.022610405973784695	0.8247466031599748	1.1309333777535133	2266.189218235627	0.0	952.0170936330398	870.7520358687582	197.3397908779185	9.236703461540753	1822.769129501798	7.813637530563422E-9	
25	307.41701318547484	1	1	1	1	0	0	307.41701318547484	24.0	0	0.025830016877596687	0.8383190831982663	1.1008993557443778	2781.860157815631	0.0	1087.579658004071	1009.4687595196215	223.51225528921856	9.382252506960619	2097.0484175236925	7.750626484696137E-9	
26	321.83081090278995	1	1	1	1	0	0	321.83081090278995	25.0	0	0.02924493032803436	0.8355622190672719	1.1180732056853022	3382.9423849793066	0.0	1231.3654874961835	1159.601248205077	250.9427432644104	9.527937347771697	2390.9667357012604	9.61960475097482E-9	
27	336.3742205469876	1	1	1	1	0	0	336.3742205469876	26.0	0	0.032828202137583	0.8248479195051299	1.1076156504262653	4071.8466003867434	0.0	1382.2400900034947	1319.9536044846097	279.63351613699086	9.663339830710118	2702.1936944881045	1.2569106437942054E-8	
28	351.0471255422998	1	1	1	1	0	0	351.0471255422998	27.0	0	0.036551224330394205	0.8376711312023547	1.1131630915569826	4863.3991823432225	0.0	1538.9989191744926	1489.252625817422	309.58562332818076	9.781628463353327	3028.2515449919147	1.4344234405268988E-8	
29	365.8493709406912	1	1	1	1	0	0	365.8493709406912	28.0	0	0.040383688489512085	0.854827176013345	1.0986621821559825	5767.46998542904	0.0	1700.365831137351	1666.146055763183	340.7988603566437	9.878295612190435	3366.511886900534	1.6577981559577998E-8	
30	380.78076346777357	1	1	1	1	0	0	380.78076346777357	29.0	0	0.04429355017696745	0.8383327895524398	1.087962335498539	6772.460590471355	0.0	1864.9915863986291	1849.200884559038	373.271727427709	9.950371801670913	3714.192470957667	1.835292643728588E-8	
31	395.8410715800774	1	1	1	1	0	0	395.8410715800774	30.0	0	0.048341036442475574	0.834646580212823	1.1060575956154681	7882.4296635498795	0.0	2035.4120607358136	2042.1812501043858	407.00138867258664	10.01862260013179	4077.5933108401996	2.053642086894983E-8	
32	411.030025533663	1	1	1	1	0	0	411.030025533663	31.0	0	0.0524869788170817	0.8458784919076325	1.1111599920053838	9114.351845275394	0.0	2209.978055456071	2243.288459119991	441.9836321086003	10.075636722859105	4453.266514576062	2.4877827080014756E-8	
33	426.3473174640513	1	1	1	1	0	0	426.3473174640513	32.0	0	0.056690081640865114	0.8323932435997634	1.108768225668728	10459.559899453192	0.0	2386.950805931163	2450.621926298528	478.2128303918913	10.115940904942557	4837.572732229691	2.7666003186025877E-8	
34	441.79260147745117	1	1	1	1	0	0	441.79260147745117	33.0	0	0.06090688514260309	0.8542078379916278	1.1078814725285206	11943.601854137127	0.0	2564.5004270569716	2662.17734891681	515.681902434345	10.135468689710757	5226.6777759737815	3.0637154821358645E-8	
35	457.365493753255	1	1	1	1	0	0	457.365493753255	34.0	0	0.06509173021127956	0.8392640383640898	1.1017037095905617	13540.349979852163	0.0	2740.7044299486124	2875.844961933115	554.3822759566714	10.13118498817357	5616.549391881727	3.158953883724706E-8	
36	473.06557265777286	1	1	1	1	0	0	473.06557265777286	35.0	0	0.06929879167860212	0.8357865740563568	1.0923517582819815	15254.226250474863	0.0	2917.8438601516673	3095.137939890337	594.303851049624	10.11768944357711	6012.981800042004	3.4346561378439556E-8	
37	488.8923788691719	1	1	1	1	0	0	488.8923788691719	36.0	0	0.07347363950686024	0.8413932742283121	1.0921336981388554	17099.25795269306	0.0	3093.6269266046415	3317.4907705577025	635.4349648152692	10.089337307754471	6411.1176971623445	4.3565534355407446E-8	
38	504.8454155135833	1	1	1	1	0	0	504.8454155135833	37.0	0	0.07755923145031096	0.8517144957687527	1.0923107355115775	19069.901450730053	0.0	3265.6518505394083	3540.209905186699	677.762357160009	10.041663842536702	6805.861755726108	4.54541757106921E-8	
39	520.9241483123366	1	1	1	1	0	0	520.9241483123366	38.0	0	0.08149587985038782	0.8388496688280888	1.0924359480001808	21158.582367482373	0.0	3431.4054673847495	3760.4720621034717	721.2711378107297	9.971115094550557	7191.877529488222	4.7494229971919265E-8	
40	537.1280057402779	1	1	1	1	0	0	537.1280057402779	39.0	0	0.08553319987190879	0.8438829356375926	1.096567831496108	23363.01591942047	0.0	3601.3978893435274	3987.128624715175	765.9447546249772	9.907407118120688	7588.526514058703	5.4069152998389524E-8	
41	553.4563791951256	1	1	1	1	0	0	553.4563791951256	40.0	0	0.0896478243745057	0.8339979251300744	1.1001953272074052	25674.32118773269	0.0	3774.6452368212913	4218.125088018861	811.7649632654591	9.846163220309373	7992.770324840152	6.058818644683394E-8	
42	569.9086231778118	1	1	1	1	0	0	569.9086231778118	41.0	0	0.09378754393794493	0.8402277897593179	1.0933877738121842	28108.32532386767	0.0	3948.949218439786	4450.530396843519	858.7117983084335	9.781488541125606	8399.479615283304	6.453304840449831E-8	
43	586.4840554837581	1	1	1	1	0	0	586.4840554837581	42.0	0	0.09789773983831247	0.8337792253926442	1.0827489771700614	30662.483087054112	0.0	4122.010098455261	4681.278236864153	906.7635458546756	9.708471823293051	8803.288335319414	6.852249723331378E-8	
44	603.1819574050269	1	1	1	1	0	0	603.1819574050269	43.0	0	0.10198537513128085	0.83105453468343	1.091336253706348	33328.92876047216	0.0	4294.121058159193	4910.759516469396	955.8967177107006	9.629576505580616	9204.880574628589	7.18268534592202E-8	
45	620.0015739432909	1	1	1	1	0	0	620.0015739432909	44.0	0	0.10617354433153	0.8233163069578379	1.0887855334871335	36099.91561314136	0.0	4470.465024485474	5145.884804904436	1006.0860272067787	9.55817849502196	9616.34982938991	7.434187405274539E-8	
46	636.9421140335545	1	1	1	1	0	0	636.9421140335545	45.0	0	0.11040559715273587	0.829272341958593	1.086749011989144	38995.820553394595	0.0	4648.656722220458	5383.473735217748	1057.3043667169923	9.488403503514041	10032.130457438205	8.070758928989667E-8	
