time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
48	0	0.11876798648656446	1.0	0.09382663195918409	139993.12513354377	45.13103944903187	0.0	0.0	0.11876798648656446	1.0810305239293065	
49	0	0.12302877722988718	1.0	0.09720151894554986	144838.51619879427	48.34686811956165	0.0	0.0	0.12302877722988718	1.082951590472616	
50	0	0.1273432905590734	1.0	0.1002691850144046	150494.5285927174	51.680458418807454	0.0	0.0	0.1273432905590734	1.0744748731179343	
51	0	0.1316474961425554	1.0	0.10297981303232265	156059.88162453813	55.131068191665825	0.0	0.0	0.1316474961425554	1.0783701693413899	
52	0	0.13590354966714435	1.0	0.10579068430242008	161015.39763149028	58.683150809286	0.0	0.0	0.13590354966714435	1.0722431764008233	
53	0	0.14028550134592627	1.0	0.10804058444877537	166001.2480722212	62.32928288044133	0.0	0.0	0.14028550134592627	1.0687270403604816	
54	0	0.14472682841047402	1.0	0.11128102100731321	171558.13461761392	66.08651580953764	0.0	0.0	0.14472682841047402	1.0617334980687057	
55	0	0.14915840594195406	1.0	0.1154140933183365	177713.03616854246	69.97257033744977	0.0	0.0	0.14915840594195406	1.0654599621986776	
56	0	0.15355059818969521	1.0	0.11746201881020298	181502.75992710437	73.92509977853393	0.0	0.0	0.15355059818969521	1.0662969799333317	
57	0	0.15807377595665717	1.0	0.12021178345456265	187147.20655767864	77.98532876665371	0.0	0.0	0.15807377595665717	1.0686233509123502	
58	0	0.162656173437457	1.0	0.12250228113884358	192339.47796772834	82.14339101849502	0.0	0.0	0.162656173437457	1.0604794308815269	
59	0	0.16722340352448992	1.0	0.12633992800382374	199428.84642943944	86.45165512943706	0.0	0.0	0.16722340352448992	1.061951685065513	
60	0	0.17174251363988602	1.0	0.12953521839998758	205251.7450458826	90.87673744307428	0.0	0.0	0.17174251363988602	1.0577989511698513	
