time(d)	species	LAI	nrShoots	fAbs	assCO2(umol/m2)	biomAbove(gr/m2)	yield(gr/m2)	harvestIndex	leafArea	fieldRFR	
27	0	0.327371133471282	10.0	0.20160703550949607	283910.11887832254	37.220463075140714	0.0	0.0	0.0654742266942564	0.9357496887110768	
28	0	0.36460135539939403	10.0	0.2195767705897283	314022.35647481534	43.65179629098842	0.0	0.0	0.0729202710798788	0.9279215668057853	
29	0	0.4029259969905728	10.0	0.2414899247983957	345344.51902226603	50.79463929822684	0.0	0.0	0.08058519939811457	0.9083803412847475	
30	0	0.4420246138651264	10.0	0.2571843237033855	375554.4827224998	58.62515013904942	0.0	0.0	0.0884049227730253	0.893734473582169	
31	0	0.48249947652020775	10.0	0.2756802848815301	404737.9969816432	67.08304747412062	0.0	0.0	0.09649989530404156	0.8753313029647789	
32	0	0.5239589002662689	10.0	0.28922589889874956	431531.57626203244	76.11437093317787	0.0	0.0	0.10479178005325379	0.8580313533863511	
33	0	0.5659899285041032	10.0	0.3087781551119212	465898.4558613338	85.92956158052398	0.0	0.0	0.11319798570082065	0.8426423586641163	
34	0	0.6081579635214828	10.0	0.3235269708194952	494194.90355979407	96.37773136775687	0.0	0.0	0.12163159270429656	0.8243938784778893	
35	0	0.6500064142082476	10.0	0.345383098790569	529822.7379884456	107.66409390721162	0.0	0.0	0.13000128284164952	0.8195000055276481	
36	0	0.6920770288814732	10.0	0.35231117014414215	548427.1673670484	119.3067963438843	0.0	0.0	0.13841540577629463	0.8019924791583554	
37	0	0.7338255071640545	10.0	0.36675540711593135	576552.04505028	131.57489557458996	0.0	0.0	0.1467651014328109	0.7913082982055937	
38	0	0.7746814265985615	10.0	0.38400743506011364	604686.7966133578	144.48491770475454	0.0	0.0	0.15493628531971232	0.7830319515446414	
39	0	0.81404791059933	10.0	0.39392337463348576	629091.196305948	157.95551605615447	0.0	0.0	0.16280958211986601	0.7691919998008905	
40	0	0.85442111081454	10.0	0.4064111927921369	655398.5801472215	171.94898874165347	0.0	0.0	0.170884222162908	0.7634980076028528	
41	0	0.8955673558405088	10.0	0.4205906322831988	683999.2810928397	186.53428706199352	0.0	0.0	0.17911347116810178	0.7580555898252449	
42	0	0.9369645514749012	10.0	0.42897883750722277	703735.2435227678	201.49407078110016	0.0	0.0	0.18739291029498026	0.754133054368765	
43	0	0.9780665104785766	10.0	0.4399138125498008	730342.5373878543	217.0295043252667	0.0	0.0	0.19561330209571534	0.7430272979978843	
44	0	1.0189428634082605	10.0	0.4486828015911526	749155.0571558794	232.9267468920323	0.0	0.0	0.20378857268165212	0.736697402943419	
45	0	1.060824555410752	10.0	0.4604033598317568	774297.9290633942	249.29798058089176	0.0	0.0	0.2121649110821504	0.7283580766734009	
46	0	1.1031450836228107	10.0	0.4716195793574559	798575.0801557093	266.140048175576	0.0	0.0	0.22062901672456217	0.725320198814189	
47	0	1.1453130158578422	10.0	0.4822660051400313	819616.7038360209	283.38830131036025	0.0	0.0	0.22906260317156843	0.7232325037067452	
48	0	1.1867689769610965	10.0	0.4850063887698138	833898.3732780287	300.8842656440856	0.0	0.0	0.23735379539221932	0.7174445872064923	
49	0	1.2293768843943238	10.0	0.4950412613439707	854679.2547817258	318.7189893233121	0.0	0.0	0.24587537687886477	0.7156125567162441	
50	0	1.2725220176861862	10.0	0.5075694453474643	881400.853728414	337.07232526598034	0.0	0.0	0.25450440353723724	0.7030936272772761	
51	0	1.3155640735210057	10.0	0.5239835219124858	915025.3302140546	356.1489998527197	0.0	0.0	0.26311281470420117	0.7004987515600625	
52	0	1.3581246087668957	10.0	0.5276895475068768	927611.7842287355	375.4030720432695	0.0	0.0	0.27162492175337916	0.7014184655173059	
53	0	1.401944125554715	10.0	0.5401979168836625	955133.9176139575	395.1542253418326	0.0	0.0	0.280388825110943	0.6940886184952487	
54	0	1.4463573962001923	10.0	0.546031065328149	970669.5346839458	415.10966076969623	0.0	0.0	0.2892714792400385	0.6865495516759814	
55	0	1.4906731715149928	10.0	0.5589810374668979	998168.4776305724	435.61273801439614	0.0	0.0	0.2981346343029986	0.6871719103815588	
56	0	1.534595093992404	10.0	0.5610654926970147	1009413.9976102	456.24201634802245	0.0	0.0	0.3069190187984808	0.6824126431587298	
57	0	1.5798268716620238	10.0	0.5777588515617015	1044420.1064874373	477.55225303044267	0.0	0.0	0.3159653743324048	0.6723531914055211	
58	0	1.6256508464700221	10.0	0.5879669499328545	1070055.479276213	499.32030729418994	0.0	0.0	0.32513016929400446	0.6681631125129956	
59	0	1.6713231473403511	10.0	0.595021892210421	1091664.535277569	521.467283360009	0.0	0.0	0.33426462946807023	0.6688100981560562	
60	0	1.7165142484943123	10.0	0.6038900987302316	1111162.1663096193	543.9481222745464	0.0	0.0	0.3433028496988625	0.6600226407933834	
