time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
33	426.3473174640513	1	1	1	1	0	0	426.3473174640513	32.0	0	0.056994935183677695	0.5916599662714668	0.8348172102399625	8713.276728067933	0.0	2399.786744575903	2461.8675270934627	480.893156252834	10.10963497495337	4861.654271669366	2.0771073628997734E-8	
33	426.3473174640513	2	1	1	2	0	0	426.3473174640513	32.0	0	0.05620305051714295	0.586939384033608	0.8504675070882701	8472.635588036865	0.0	2366.444232300755	2433.250371879198	473.77750601916017	10.130693296329369	4799.694604179953	2.060046142352252E-8	
34	441.79260147745117	1	1	1	1	0	0	441.79260147745117	33.0	0	0.061211738685415656	0.5848775850214863	0.835930460793281	9789.29756231156	0.0	2577.3363657017117	2673.422949711745	518.3622282952877	10.129517601391155	5250.7593154134565	2.3146557579429342E-8	
34	441.79260147745117	2	1	1	2	0	0	441.79260147745117	33.0	0	0.060419854018880906	0.5581607017157364	0.8128572961624974	9486.24871123981	0.0	2543.993853426564	2644.80579449748	511.24657806161383	10.14930929728141	5188.799647924044	2.273511991949291E-8	
35	457.365493753255	1	1	1	1	0	0	457.365493753255	34.0	0	0.06539658375409213	0.5807780537360325	0.8231227034410129	10950.368896637989	0.0	2753.540368593352	2887.09056272805	557.062601817614	10.125667946325684	5640.630931321402	2.5282542923633126E-8	
35	457.365493753255	2	1	1	2	0	0	457.365493753255	34.0	0	0.06460469908755738	0.5548868967495806	0.8158773076142833	10582.449884804337	0.0	2720.197856318205	2858.473407513785	549.9469515839402	10.144017068854502	5578.67126383199	2.3955106120433092E-8	
36	473.06557265777286	1	1	1	1	0	0	473.06557265777286	35.0	0	0.06960364522141468	0.5545780078068087	0.8031427413043745	12149.111965634725	0.0	2930.6797987964073	3106.3835406852722	596.9841769105666	10.112601929792996	6037.06333948168	3.1254755304375224E-8	
36	473.06557265777286	2	1	1	2	0	0	473.06557265777286	35.0	0	0.06881176055487993	0.5292916363060454	0.8008422170123363	11712.247303142138	0.0	2897.3372865212605	3077.766385471007	589.8685266768928	10.12955158949377	5975.103671992268	2.6664141328593305E-8	
37	488.8923788691719	1	1	1	1	0	0	488.8923788691719	36.0	0	0.07377849304967282	0.5280340654717244	0.7902345113328411	13381.488180436343	0.0	3106.462865249381	3328.736371352637	638.1152906762118	10.084696810481736	6435.199236602019	2.9740496316287916E-8	
37	488.8923788691719	2	1	1	2	0	0	488.8923788691719	36.0	0	0.07298660838313807	0.5318565514114825	0.7923820850783462	12933.49093448165	0.0	3073.120352974234	3300.119216138373	630.999640442538	10.100226942511208	6373.239569112607	3.116819922200563E-8	
38	504.8454155135833	1	1	1	1	0	0	504.8454155135833	37.0	0	0.07786408499312353	0.5347832322961037	0.7831239157724228	14707.338682248821	0.0	3278.4877891841484	3551.455505981634	680.4426830209516	10.037499800634171	6829.943295165782	3.5275733342678695E-8	
38	504.8454155135833	2	1	1	2	0	0	504.8454155135833	37.0	0	0.07707220032658878	0.5116827162174458	0.7829399873168601	14189.64485870209	0.0	3245.1452769090006	3522.83835076737	673.3270327872777	10.051554888060704	6767.983627676371	3.348038579219448E-8	
39	520.9241483123366	1	1	1	1	0	0	520.9241483123366	38.0	0	0.08180073339320039	0.5168509636778723	0.7721297134451006	16078.368956876398	0.0	3444.2414060294896	3771.717662898406	723.9514636716724	9.967462504089209	7215.959068927896	3.4430798079265536E-8	
39	520.9241483123366	2	1	1	2	0	0	520.9241483123366	38.0	0	0.08100884872666564	0.5000577043187073	0.7662542861566803	15512.734254354495	0.0	3410.8988937543418	3743.1005076841416	716.8358134379985	9.979969286310297	7153.999401438483	3.3871464812439687E-8	
40	537.1280057402779	1	1	1	1	0	0	537.1280057402779	39.0	0	0.08583805341472137	0.5046105221283886	0.7670242364954822	17495.079188416123	0.0	3614.2338279882674	3998.3742255101097	768.62508048592	9.904188982079187	7612.608053498378	3.616307002286166E-8	
40	537.1280057402779	2	1	1	2	0	0	537.1280057402779	39.0	0	0.08504616874818662	0.4938315801200996	0.7599717787102235	16894.71855991457	0.0	3580.89131571312	3969.757070295845	761.509430252246	9.915370822798415	7550.648386008965	3.713999455193417E-8	
41	553.4563791951256	1	1	1	1	0	0	553.4563791951256	40.0	0	0.08995267791731827	0.5048150703717562	0.7596410435142136	18992.895713344293	0.0	3787.4811754660313	4229.370688813796	814.4452891264018	9.843327687337894	8016.851864279827	4.4399006434707176E-8	
41	553.4563791951256	2	1	1	2	0	0	553.4563791951256	40.0	0	0.08916079325078352	0.47957226153567656	0.7564701361362762	18313.961699054416	0.0	3754.1386631908845	4200.753533599532	807.3296388927279	9.853338479807013	7954.892196790416	3.97459629510105E-8	
42	569.9086231778118	1	1	1	1	0	0	569.9086231778118	41.0	0	0.09409239748075751	0.48706773410702814	0.7606217374935339	20521.013401632878	0.0	3961.785157084526	4461.775997638454	861.3921241693762	9.77900879096806	8423.56115472298	4.5299388517539485E-8	
42	569.9086231778118	2	1	1	2	0	0	569.9086231778118	41.0	0	0.09330051281422275	0.47086526443648613	0.7476443712439962	19777.80075458715	0.0	3928.442644809378	4433.15884242419	854.2764739357023	9.78793369869028	8361.601487233569	4.315979365809482E-8	
43	586.4840554837581	1	1	1	1	0	0	586.4840554837581	42.0	0	0.09820259338112505	0.4782667774798345	0.7555888979332405	22102.668662909018	0.0	4134.846037100001	4692.523837659089	909.4438717156183	9.706338290131878	8827.36987475909	4.547538040722002E-8	
43	586.4840554837581	2	1	1	2	0	0	586.4840554837581	42.0	0	0.09741070871459029	0.46067801221060883	0.730465698062528	21303.232202144325	0.0	4101.503524824854	4663.906682444825	902.3282214819444	9.714214848421511	8765.410207269679	4.5457565539727924E-8	
44	603.1819574050269	1	1	1	1	0	0	603.1819574050269	43.0	0	0.10229022867409343	0.46173242271124537	0.7436145972057663	23702.763699583833	0.0	4306.956996803933	4922.005117264331	958.5770435716433	9.627772932764271	9228.962114068265	5.017826577221314E-8	
44	603.1819574050269	2	1	1	2	0	0	603.1819574050269	43.0	0	0.10149834400755868	0.4557326350012181	0.7297802086810716	22882.58567882263	0.0	4273.614484528786	4893.387962050067	951.4613933379694	9.63465518492418	9167.002446578852	5.0720410927687906E-8	
45	620.0015739432909	1	1	1	1	0	0	620.0015739432909	44.0	0	0.10647839787434257	0.4505156841988511	0.7268351832485369	25346.550590435327	0.0	4483.300963130214	5157.130405699371	1008.7663530677214	9.556654362541366	9640.431368829584	5.024574852019114E-8	
45	620.0015739432909	2	1	1	2	0	0	620.0015739432909	44.0	0	0.10568651320780782	0.4531829564131586	0.7298809700982649	24513.045525743022	0.0	4449.958450855066	5128.513250485108	1001.6507028340475	9.562686547555018	9578.471701340175	5.2592074569733706E-8	
