time(d)	tt(dd)	plant#	strip#	row#	pos#	species	weed	age(dd)	age(days)	nrBranches	leafArea(m2)	fpar	rfr	biom(mg)	yield(mg)	leafMass(mg)	stemMass(mg)	rootMass(mg)	shootRootRatio(mg)	aboveBiom(mg)	transpiration	
20	237.29359419897813	1	1	1	1	0	0	237.29359419897813	19.0	0	0.006266117980881225	0.8161776019829472	1.0906206939278673	542.8980213197613	0.0	263.83654656342003	218.36177729677092	60.69969745957036	7.9439988013344545	482.19832386019095	1.120369694954285E-9	
21	251.0589284553002	1	1	1	1	0	0	251.0589284553002	20.0	0	0.007622719228922872	0.8393630700258671	1.1093819509416423	665.7281502148728	0.0	320.956599112542	272.8884428914416	71.88310821088915	8.261259936921112	593.8450420039836	1.6884358823795464E-9	
22	264.9538811227463	1	1	1	1	0	0	264.9538811227463	21.0	0	0.008615843916465506	0.8364013666698425	1.1104421681541263	756.3869011020494	0.0	362.77237543012654	313.667988791432	79.94653688049088	8.461159052239426	676.4403642215585	1.733815627051468E-9	
23	278.9785277773454	1	1	1	1	0	0	278.9785277773454	22.0	0	0.010099040102050141	0.7995026007289309	1.0834078629333974	892.8151826881884	0.0	425.2227411389533	375.68476459707955	91.90767695215558	8.714261227089459	800.9075057360328	2.547631771749002E-9	
24	293.13290556399915	1	1	1	1	0	0	293.13290556399915	23.0	0	0.011853953601343094	0.8510692845901463	1.089127798141101	1055.4151533585116	0.0	499.1138358460249	450.2322967617433	106.06902075074329	8.950267720852091	949.3461326077683	3.0175416088722826E-9	
25	307.41701318547484	1	1	1	1	0	0	307.41701318547484	24.0	0	0.01437178416457095	0.8345689962351373	1.1233754009392827	1290.3772738296511	0.0	605.1277542977242	558.7128606787836	126.53665885314327	9.19765564797507	1163.8406149765078	4.357809494251134E-9	
26	321.83081090278995	1	1	1	1	0	0	321.83081090278995	25.0	0	0.016577211127728916	0.8100504218753052	1.0909581805290762	1497.911471095203	0.0	697.987836957007	655.6717568260565	144.25187731213964	9.383999841152466	1353.6595937830634	3.9568261942092265E-9	
27	336.3742205469876	1	1	1	1	0	0	336.3742205469876	26.0	0	0.01970690271818057	0.8451151740731946	1.1067784279173865	1794.8014986351195	0.0	829.764324976024	795.7262789585476	169.31089470054815	9.600626154681285	1625.4906039345715	6.9099254814965336E-9	
28	351.0471255422998	1	1	1	1	0	0	351.0471255422998	27.0	0	0.023191916704542223	0.8409092752108992	1.0716882788579438	2128.052179828148	0.0	976.5017559807251	954.2022231421308	197.348200705292	9.783235784379173	1930.7039791228558	6.99512018466693E-9	
29	365.8493709406912	1	1	1	1	0	0	365.8493709406912	28.0	0	0.026694141970657163	0.8235995561072379	1.1166990434906463	2465.6886584986223	0.0	1123.9638724487224	1115.85295594595	225.8718301039498	9.916317707099081	2239.8168283946725	7.733780405559747E-9	
30	380.78076346777357	1	1	1	1	0	0	380.78076346777357	29.0	0	0.03060400365811252	0.8230648376562699	1.0989212043356933	2940.132365600028	0.0	1288.589627710001	1298.907784741805	258.3446971750151	10.015678435617012	2587.4974124518058	9.605828544959015E-9	
31	395.8410715800774	1	1	1	1	0	0	395.8410715800774	30.0	0	0.03465148992362065	0.8290617497523084	1.1028985155586828	3520.239131829694	0.0	1459.0101020471852	1491.8881502871527	292.07435841989275	10.103243120342867	2950.898252334338	1.3004713771757964E-8	
32	411.030025533663	1	1	1	1	0	0	411.030025533663	31.0	0	0.03879743229822677	0.8197694665374532	1.1036665391392468	4112.962799352366	0.0	1633.5760967674428	1692.995359302758	327.0566018559064	10.171240810285834	3326.571456070201	1.3629720784553705E-8	
33	426.3473174640513	1	1	1	1	0	0	426.3473174640513	32.0	0	0.0430005351220102	0.8278107067312168	1.1038782148237756	4969.440069028213	0.0	1810.5488472425345	1900.328826481295	363.2858001391974	10.214761139306741	3710.8776737238295	1.8652452505956224E-8	
34	441.79260147745117	1	1	1	1	0	0	441.79260147745117	33.0	0	0.047217338623748155	0.8351662686644674	1.0997166618995273	5921.523128757354	0.0	1988.0984683683437	2111.8842490995767	400.7548721816511	10.23064971150123	4099.98271746792	2.0240423140820293E-8	
35	457.365493753255	1	1	1	1	0	0	457.365493753255	34.0	0	0.051402183692424636	0.8357463248657101	1.08818915336501	6922.858069797558	0.0	2164.3024712599845	2325.5518621158817	439.4552457039774	10.216863667615174	4489.854333375866	2.1432388463394574E-8	
36	473.06557265777286	1	1	1	1	0	0	473.06557265777286	35.0	0	0.05560924515974718	0.8372953051893371	1.0813226175341955	7913.939903958297	0.0	2341.4419014630394	2544.844840073104	479.37682079693	10.192997511671585	4886.286741536143	2.2073059095455823E-8	
37	488.8923788691719	1	1	1	1	0	0	488.8923788691719	36.0	0	0.05978409298800532	0.825343667733763	1.0821934066732226	9098.66413759263	0.0	2517.2249679160136	2767.197670740469	520.5079345625752	10.152434358368444	5284.422638656482	2.801677833174643E-8	
38	504.8454155135833	1	1	1	1	0	0	504.8454155135833	37.0	0	0.06386968493145603	0.8336115698117279	1.0983471614537703	10338.683323978206	0.0	2689.2498918507804	2989.916805369466	562.835326907315	10.090281163455584	5679.1666972202465	2.939956231590563E-8	
39	520.9241483123366	1	1	1	1	0	0	520.9241483123366	38.0	0	0.0678063333315329	0.83916732366999	1.0957078802886808	11670.145006722722	0.0	2855.003508696122	3210.178962286239	606.3441075580358	10.0028719589756	6065.182470982361	3.355447424699339E-8	
40	537.1280057402779	1	1	1	1	0	0	537.1280057402779	39.0	0	0.07184365335305387	0.8253101470053507	1.0917584563076905	12780.220433581293	0.0	3024.9959306548994	3436.8355248979424	651.0177243722834	9.925738138363885	6461.831455552841	2.9772816392732188E-8	
41	553.4563791951256	1	1	1	1	0	0	553.4563791951256	40.0	0	0.07595827785565076	0.8216993975921185	1.0838279284141479	13959.644533368313	0.0	3198.243278132664	3667.8319882016276	696.8379330127652	9.853188153304096	6866.075266334292	3.375209913247631E-8	
42	569.9086231778118	1	1	1	1	0	0	569.9086231778118	41.0	0	0.08009799741909002	0.8184623380638187	1.0828467557544836	15127.872756694933	0.0	3372.547259751158	3900.237297026287	743.7847680557396	9.778076762432997	7272.784556777445	3.473742361224379E-8	
43	586.4840554837581	1	1	1	1	0	0	586.4840554837581	42.0	0	0.08420819331945756	0.8174396728082807	1.0907616860149218	16248.67226452892	0.0	3545.6081397666335	4130.9851370469205	791.8365156019818	9.694669449510723	7676.5932768135535	3.436047308386306E-8	
