ivol x_MIN3P z_MIN3P RSD
 375 1.020408 0.285714 0.000000
 376 1.061224 0.285714 0.000000
 377 1.102041 0.285714 0.000000
 378 1.142857 0.285714 0.000000
 379 1.183674 0.285714 0.000000
 380 1.224490 0.285714 0.000000
 381 1.265306 0.285714 0.000000
 382 1.306122 0.285714 0.000000
 383 1.346939 0.285714 0.000000
 384 1.387755 0.285714 0.000000
 385 1.428571 0.285714 0.000000
 386 1.469388 0.285714 0.000000
 387 1.510204 0.285714 0.000000
 388 1.551020 0.285714 0.000000
 389 1.591837 0.285714 0.000000
 390 1.632653 0.285714 0.000000
 391 1.673469 0.285714 0.000000
 392 1.714286 0.285714 0.000000
 393 1.755102 0.285714 0.000000
 394 1.795918 0.285714 0.000000
 395 1.836735 0.285714 0.000000
 396 1.877551 0.285714 0.000000
 397 1.918367 0.285714 0.000000
 398 1.959184 0.285714 0.000000
 399 2.000000 0.285714 0.000000
 400 0.000000 0.326531 0.000000
 401 0.040816 0.326531 0.000000
 402 0.081633 0.326531 0.000000
 403 0.122449 0.326531 0.000000
 404 0.163265 0.326531 0.000000
 405 0.204082 0.326531 0.000000
 406 0.244898 0.326531 0.000000
 407 0.285714 0.326531 0.000000
 408 0.326531 0.326531 0.000000
 409 0.367347 0.326531 0.000000
 410 0.408163 0.326531 0.000000
 411 0.448980 0.326531 0.000000
 412 0.489796 0.326531 0.000000
 413 0.530612 0.326531 0.000000
 414 0.571429 0.326531 0.000000
 415 0.612245 0.326531 0.000000
 416 0.653061 0.326531 0.000000
 417 0.693878 0.326531 0.102102
 418 0.734694 0.326531 0.000000
 419 0.775510 0.326531 0.000000
 420 0.816327 0.326531 0.000000
 421 0.857143 0.326531 0.000000
 422 0.897959 0.326531 0.102102
 423 0.938776 0.326531 0.000000
 424 0.979592 0.326531 0.000000
 425 1.020408 0.326531 0.000000
 426 1.061224 0.326531 0.000000
 427 1.102041 0.326531 0.000000
 428 1.142857 0.326531 0.000000
 429 1.183674 0.326531 0.000000
 430 1.224490 0.326531 0.000000
 431 1.265306 0.326531 0.000000
 432 1.306122 0.326531 0.000000
 433 1.346939 0.326531 0.000000
 434 1.387755 0.326531 0.000000
 435 1.428571 0.326531 0.000000
 436 1.469388 0.326531 0.000000
 437 1.510204 0.326531 0.000000
 438 1.551020 0.326531 0.000000
 439 1.591837 0.326531 0.000000
 440 1.632653 0.326531 0.000000
 441 1.673469 0.326531 0.000000
 442 1.714286 0.326531 0.000000
 443 1.755102 0.326531 0.000000
 444 1.795918 0.326531 0.000000
 445 1.836735 0.326531 0.000000
 446 1.877551 0.326531 0.000000
 447 1.918367 0.326531 0.000000
 448 1.959184 0.326531 0.000000
 449 2.000000 0.326531 0.000000
 450 0.000000 0.367347 0.000000
 451 0.040816 0.367347 0.000000
 452 0.081633 0.367347 0.000000
 453 0.122449 0.367347 0.000000
 454 0.163265 0.367347 0.000000
 455 0.204082 0.367347 0.000000
 456 0.244898 0.367347 0.000000
 457 0.285714 0.367347 0.000000
 458 0.326531 0.367347 0.000000
 459 0.367347 0.367347 0.000000
 460 0.408163 0.367347 0.000000
 461 0.448980 0.367347 0.000000
 462 0.489796 0.367347 0.000000
 463 0.530612 0.367347 0.000000
 464 0.571429 0.367347 0.000000
 465 0.612245 0.367347 0.000000
 466 0.653061 0.367347 0.000000
 467 0.693878 0.367347 0.102102
 468 0.734694 0.367347 0.000000
 469 0.775510 0.367347 0.000000
 470 0.816327 0.367347 0.000000
 471 0.857143 0.367347 0.000000
 472 0.897959 0.367347 0.102102
 473 0.938776 0.367347 0.000000
 474 0.979592 0.367347 0.000000
 475 1.020408 0.367347 0.000000
 476 1.061224 0.367347 0.000000
 477 1.102041 0.367347 0.000000
 478 1.142857 0.367347 0.000000
 479 1.183674 0.367347 0.000000
 480 1.224490 0.367347 0.000000
 481 1.265306 0.367347 0.000000
 482 1.306122 0.367347 0.000000
 483 1.346939 0.367347 0.000000
 484 1.387755 0.367347 0.000000
 485 1.428571 0.367347 0.000000
 486 1.469388 0.367347 0.000000
 487 1.510204 0.367347 0.000000
 488 1.551020 0.367347 0.000000
